"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"163","Transportation Services","North York Service Road Extension","2021 Final Year End Adjustment",-2239,0,0,0,0,0,0,0,0,0,-2239,"18","Willowdale","Growth Related"
"164","Transportation Services","Six Points Interchange Redevelopment","2021 Final Year End Adjustment",450,0,0,0,0,0,0,0,0,0,450,"3","Etobicoke-Lakeshore","Growth Related"
"165","Transportation Services","RSP Transportation Safety & Local Improvement","2020 Adjustment Commitments",1305,1324,0,0,0,0,0,0,0,0,2629,"CW","City Wide","Health and Safety"
"166","Transportation Services","RSP Missing Link Sidewalk","2020 Adjustment Commitments",500,500,0,0,0,0,0,0,0,0,1000,"CW","City Wide","Health and Safety"
"167","Transportation Services","Glen Road Pedestrian Bridge","2022 Adjustment Commitments",4372,0,200,0,0,0,0,0,0,0,4572,"11","University-Rosedale","Health and Safety"
"168","Transportation Services","Traffic Congestion Management","2022 Commitment Adjustment",0,1380,0,0,0,0,0,0,0,0,1380,"CW","City Wide","Service Improvement and Enhancement"
"169","Transportation Services","Traffic Congestion Management","2021 Final Year End Adjustment",614,0,0,0,0,0,0,0,0,0,614,"CW","City Wide","Service Improvement and Enhancement"
"170","Transportation Services","RSP New Traffic Control Signals / Devices","2020 Adjustment Commitments",1308,1308,0,0,0,0,0,0,0,0,2616,"CW","City Wide","Health and Safety"
"171","Transportation Services","RSP New Traffic Control Signals / Devices","2021 Adjustment Commitments",8448,192,0,0,0,0,0,0,0,0,8640,"CW","City Wide","Health and Safety"
"172","Transportation Services","Traffic Plant Requirements/Signal Asset Management","2021 Adjustment Commitments",0,0,6925,0,0,0,0,0,0,0,6925,"CW","City Wide","State of Good Repair"
"173","Transportation Services","Traffic Plant Requirements/Signal Asset Management","2022 Commitment Adjustment",0,0,0,6925,0,0,0,0,0,0,6925,"CW","City Wide","State of Good Repair"
"174","Transportation Services","Major Road Rehabilitation","2021 Final Year End Adjustment",4321,10000,0,0,0,0,0,0,0,0,14321,"CW","City Wide","State of Good Repair"
"175","Transportation Services","Engineering Studies","Broadview 2022 Adjustments",750,0,0,0,0,0,0,0,0,0,750,"CW","City Wide","Service Improvement and Enhancement"
"176","Transportation Services","Local Road Rehabilitation","2023 Commitment Adjustment",0,-5891,-3000,-3000,-3000,0,0,0,0,0,-14891,"CW","City Wide","State of Good Repair"
"177","Transportation Services","Local Road Rehabilitation","LRR Commitments for 2023 to 2027",15397,16205,17029,17870,18102,0,0,0,0,0,84603,"CW","City Wide","State of Good Repair"
"178","Transportation Services","Local Road Rehabilitation","2021 Adjustment Commitments",0,45000,43195,0,0,0,0,0,0,0,88195,"CW","City Wide","State of Good Repair"
"179","Transportation Services","F. G. Gardiner Rehabilitation Program","2021 Adjustment Commitments",0,162660,0,0,0,0,0,0,0,0,162660,"CW","City Wide","State of Good Repair"
"180","Transportation Services","Neighbourhood Improvements","N.I. Oriole Parkway",0,334,0,0,0,0,0,0,0,0,334,"12","Toronto-St. Pauls","Service Improvement and Enhancement"
"181","Transportation Services","John Street Revitalization Project","2022 Commitment Adjustment",0,0,112,0,0,0,0,0,0,0,112,"10","Spadina-Fort York","Growth Related"
"182","Transportation Services","John Street Revitalization Project","2022 Q1 In-year Adjustment",-182,0,0,0,0,0,0,0,0,0,-182,"10","Spadina-Fort York","Growth Related"
"183","Transportation Services","Eglinton Connects LRT","2020 Adjustment Commitments",8280,0,0,0,0,0,0,0,0,0,8280,"CW","City Wide","Service Improvement and Enhancement"
"184","Transportation Services","MoveTO","2022 Commitment Adjustment",1,2003,0,0,0,0,0,0,0,0,2004,"CW","City Wide","Service Improvement and Enhancement"
"185","Transportation Services","MoveTO","2021 Final Year End Adjustment",1027,0,0,0,0,0,0,0,0,0,1027,"CW","City Wide","Service Improvement and Enhancement"
"186","Transportation Services","Cycling Infrastructure","2022 Adjustment Commitments",2924,2924,5000,5000,4500,0,0,0,0,0,20348,"CW","City Wide","Service Improvement and Enhancement"
"187","Transportation Services","City Bridge Rehabilitation","2021 Adjustment Commitments",0,0,29382,0,0,0,0,0,0,0,29382,"CW","City Wide","State of Good Repair"
"188","Transportation Services","City Bridge Rehabilitation","2022 Adjustment Commitments",10000,0,0,29834,0,0,0,0,0,0,39834,"CW","City Wide","State of Good Repair"
"189","Transportation Services","Signs and Markings Asset Management","2022 Commitment Adjustment",400,0,0,0,0,0,0,0,0,0,400,"CW","City Wide","State of Good Repair"
"190","Transportation Services","Signs and Markings Asset Management","2021 Final Year End Adjustment",263,0,0,0,0,0,0,0,0,0,263,"CW","City Wide","State of Good Repair"
"191","Corporate Real Estate Management","Environmental","Subs & Environ Survey,Sample & Abat-2023",1281.55,0,0,0,0,0,0,0,0,0,1281.55,"CW","City Wide","State of Good Repair"
"192","Corporate Real Estate Management","Customer Experience","Channel & Counter Strategy",694,0,0,0,0,0,0,0,0,0,694,"CW","City Wide","Service Improvement and Enhancement"
"193","Corporate Real Estate Management","Emergency","Var Locs -Emergency Capital Repairs-2023",541,0,0,0,0,0,0,0,0,0,541,"CW","City Wide","State of Good Repair"
"194","Corporate Real Estate Management","Emergency","Fire and Life Safety Audits 2022",2300,0,0,0,0,0,0,0,0,0,2300,"CW","City Wide","Health and Safety"
"195","Corporate Real Estate Management","Emergency","2023 Reduction Target-Emergency Capital Repair2022",-862,0,0,0,0,0,0,0,0,0,-862,"CW","City Wide","State of Good Repair"
"196","Corporate Real Estate Management","USR - Professional Services","Union Station Enhancement Project (USEP) Pkg 1",-372,-276,0,0,0,0,0,0,0,0,-648,"10","Spadina-Fort York","Service Improvement and Enhancement"
"197","Corporate Real Estate Management","Transform TO","Transform TO - ECDM 2021",400,0,0,0,0,0,0,0,0,0,400,"CW","City Wide","Service Improvement and Enhancement"
"198","Corporate Real Estate Management","Union Station East Wing","Union Station East Wing",-1678.22,800,300,578.22,0,0,0,0,0,0,0,"10","Spadina-Fort York","Service Improvement and Enhancement"
"199","Corporate Real Estate Management","Sitework","VarLocs-SOGR Site Work 2023",1216,0,0,0,0,0,0,0,0,0,1216,"CW","City Wide","State of Good Repair"
"200","Corporate Real Estate Management","Renovations","2023 Reduction Target -SOGR Interior Systems 2021",-345,0,0,0,0,0,0,0,0,0,-345,"CW","City Wide","State of Good Repair"
"201","Corporate Real Estate Management","Office Modernization Program","Modern TO - Unlocking 8 Sites",4336.12,1627,-3029,-375,0,0,0,0,0,0,2559.12,"CW","City Wide","Service Improvement and Enhancement"
"202","Corporate Real Estate Management","Real Estate Services","Signage and Wayfinding - Union Station 2021",0,50,50,50,50,50,50,50,50,50,450,"10","Spadina-Fort York","Service Improvement and Enhancement"
"203","Corporate Real Estate Management","Structural/Building Envelope","1050 Ellesmere Building - Facility Construction",1298,0,0,0,0,0,0,0,0,0,1298,"21","Scarborough Centre","State of Good Repair"
"204","Corporate Real Estate Management","Structural/Building Envelope","Var Locs-Civic Projects 2023",2500,0,0,0,0,0,0,0,0,0,2500,"CW","City Wide","State of Good Repair"
"205","Corporate Real Estate Management","Security","CCTV Infrast Enhanc - Counter Measures 2023",750,0,0,0,0,0,0,0,0,0,750,"CW","City Wide","Service Improvement and Enhancement"
"206","Corporate Real Estate Management","Mechanical and Electrical","40 Coronation Dr-Asphalt Repairs & Painted Lines,",0,158,0,0,0,0,0,0,0,0,158,"24","Scarborough-Guildwood","State of Good Repair"
"207","Corporate Real Estate Management","Mechanical and Electrical","VarLocs-SOGR Mech & Elect 2021",-1200,33,-109,1276,0,0,0,0,0,0,0,"CW","City Wide","State of Good Repair"
"208","Corporate Real Estate Management","Mechanical and Electrical","100 Queen W-Installation of Aut. Fire Sprinkle Sys",0,500,2000,1500,1000,1000,-1000,-1000,0,0,4000,"10","Spadina-Fort York","State of Good Repair"
"209","Corporate Real Estate Management","Sitework","2023 Reduction Target - SOGR Sitework 2021",-4591.7,0,0,0,0,0,0,0,0,0,-4591.7,"CW","City Wide","State of Good Repair"
"210","Corporate Real Estate Management","Sitework","2023 Reduction Target - SOGR Site Work 2022",-2016,0,0,0,0,0,0,0,0,0,-2016,"CW","City Wide","State of Good Repair"
"211","Corporate Real Estate Management","Structural/Building Envelope","2023 Reduction Target-Union Station SOGR Work 2018",-2424.92,0,0,0,0,0,0,0,0,0,-2424.92,"10","Spadina-Fort York","State of Good Repair"
"212","Corporate Real Estate Management","Mechanical and Electrical","2023 Reduction Target -SOGR Mech&Elect Sys 2022",-6529.49,0,0,0,0,0,0,0,0,0,-6529.49,"CW","City Wide","State of Good Repair"
"213","Fleet Services","Ellesmere Tool Replacement","FSD Ellesemere Tool Replacement - 2023",473,0,0,0,0,0,0,0,0,0,473,"CW","City Wide","State of Good Repair"
"214","Fleet Services","Toronto Community Housing Corp.- Fleet Replacement","TCHC - Fleet Replacement - 2022",702,0,0,0,0,0,0,0,0,0,702,"CW","City Wide","State of Good Repair"
"215","Fleet Services","Facilities Mgmt & Real Estate - Fleet Replacement","FA - Fleet Replacement - 2023",0,215.4,0,0,0,0,0,0,0,0,215.4,"CW","City Wide","State of Good Repair"
"216","Fleet Services","Engineering & Construction Serv Fleet Replacement","ECS - Fleet Replacement - 2020",0,0,0,0,0,0,0,0,0,0,0,"CW","City Wide","State of Good Repair"
"217","Fleet Services","Arena Boards - Replacement of Ice Resurfacers","Arena - Fleet Replacement - 2023",117,0,0,0,0,0,0,0,0,0,117,"CW","City Wide","State of Good Repair"
"218","Fleet Services","Fire-Fleet Replacement","Fire - Fleet Replacement - 2027",0,0,0,0,0,124,16930,0,0,0,17054,"CW","City Wide","State of Good Repair"
"219","Fleet Services","Sustainment of Fleet & Fuel System Intregration","FSD - Sust. of Fleet & Fuel Sys. Intregration-2019",137.8,0,0,0,0,0,0,0,0,0,137.8,"CW","City Wide","Service Improvement and Enhancement"
"220","Technology Services","Corporate Initiatives","EDHR - Complaints Management System",0,0,0,0,0,0,0,0,0,0,0,"CW","City Wide","Legislated"
"221","Technology Services","Corporate Initiatives","Enterprise Work Mgmt Solution (EWMS) Phases 2&3",717,0,0,0,0,0,0,0,0,0,717,"CW","City Wide","Service Improvement and Enhancement"
"222","Technology Services","Application Systems","Toronto Property System (TPS) Refresh",300,0,0,0,0,0,0,0,0,0,300,"CW","City Wide","State of Good Repair"
"223","Technology Services","Application Systems","ECS Cloud Deployment-Construction Project and DMS",700,0,0,0,0,0,0,0,0,0,700,"CW","City Wide","Service Improvement and Enhancement"
"224","Technology Services","Fleet Services","Fleet Services Driver, Accident and Fine Mgmt",1467,0,0,0,0,0,0,0,0,0,1467,"CW","City Wide","Service Improvement and Enhancement"
"225","Technology Services","Network Upgrade","Disaster Recovery",-1050,-1302,-950,0,0,0,0,0,0,0,-3302,"CW","City Wide","State of Good Repair"
"226","Technology Services","Legal Services","Legal Services Document Management System",513,0,0,0,0,0,0,0,0,0,513,"CW","City Wide","State of Good Repair"
"227","Technology Services","Data Centralization","Modernized Data Center Architecture",5538,0,0,0,0,0,0,0,0,0,5538,"CW","City Wide","Service Improvement and Enhancement"
"228","Technology Services","Digital Modernization","Office 365",539,0,0,0,0,0,0,0,0,0,539,"CW","City Wide","Service Improvement and Enhancement"
"229","Technology Services","Corporate Planning & Management","2023 Reduction Target-Art Intel AI for SSHA&TPH",-175,0,0,0,0,0,0,0,0,0,-175,"CW","City Wide","Service Improvement and Enhancement"
"230","Technology Services","Technology Infrastructure","2023 Reduction Target-TEMS REPLACEMENT-Design",-44,0,0,0,0,0,0,0,0,0,-44,"CW","City Wide","State of Good Repair"
"231","Environment & Climate Division","Energy Retrofit Initiative","Deep Retrofit Challenge (DRC) program",450,1800,1800,950,0,0,0,0,0,0,5000,"CW","City Wide","Service Improvement and Enhancement"
"232","Chief Information Security Office","Corporate Planning & Management","Cyber Command Centre",-8777,8777,8777,0,0,0,0,0,0,0,8777,"CW","City Wide","Service Improvement and Enhancement"
"233","Fleet Services","Toronto Building - Fleet Replacement","BL - Fleet Replacement - 2025",0,0,98.4,42.2,0,0,0,0,0,0,140.6,"CW","City Wide","State of Good Repair"
"234","Fleet Services","ZEV Charging Infrastructure","ZEV Charging Infrastructure - 2031",0,0,0,0,0,0,0,0,500,0,500,"CW","City Wide","Legislated"
"235","Fleet Services","Facilities Mgmt & Real Estate - Fleet Replacement","FA - Fleet Replacement - 2027",0,0,0,0,974.3,0,0,0,0,0,974.3,"CW","City Wide","State of Good Repair"
"236","Fleet Services","Facilities Mgmt & Real Estate - Fleet Replacement","FA - Fleet Replacement - 2032",0,0,0,0,0,0,0,0,0,2307.1,2307.1,"CW","City Wide","State of Good Repair"
"237","Corporate Real Estate Management","Environmental","Var Locs-Emergency Environmental Remediation &",0,326,0,0,0,0,0,0,0,0,326,"CW","City Wide","State of Good Repair"
"238","Fleet Services","Parks, Forestry & Recreation-Fleet Replacement","PFR - Fleet Replacement - 2024",0,2440,3660,0,0,0,0,0,0,0,6100,"CW","City Wide","State of Good Repair"
"239","Fleet Services","Parks, Forestry & Recreation-Fleet Replacement","PFR - Fleet Replacement - 2025",0,0,2440,3660,0,0,0,0,0,0,6100,"CW","City Wide","State of Good Repair"
"240","Fleet Services","Toronto Community Housing Corp.- Fleet Replacement","TCHC - Fleet Replacement - 2029",0,0,0,0,0,0,1032.1,442.4,0,0,1474.5,"CW","City Wide","State of Good Repair"
"241","Fleet Services","Toronto Community Housing Corp.- Fleet Replacement","TCHC - Fleet Replacement - 2024",0,289.3,124,0,0,0,0,0,0,0,413.3,"CW","City Wide","State of Good Repair"
"242","Fleet Services","Exhibition Place - Fleet Replacement","Ex - Fleet Replacement - 2025",0,0,400,0,0,0,0,0,0,0,400,"CW","City Wide","State of Good Repair"
"243","Fleet Services","Exhibition Place - Fleet Replacement","Ex - Fleet Replacement - 2027",0,0,0,0,400,0,0,0,0,0,400,"CW","City Wide","State of Good Repair"
"244","Fleet Services","Exhibition Place - Fleet Replacement","Ex - Fleet Replacement - 2029",0,0,0,0,0,0,400,0,0,0,400,"CW","City Wide","State of Good Repair"
"245","Fleet Services","Toronto Water - Fleet Replacement","TW - Fleet Replacement - 2026",0,0,0,1364.4,1364.4,0,0,0,0,0,2728.8,"CW","City Wide","State of Good Repair"
"246","Fleet Services","Toronto Water - Fleet Replacement","TW - Fleet Replacement - 2027",0,0,0,0,4976.6,4976.6,0,0,0,0,9953.2,"CW","City Wide","State of Good Repair"
"247","Fleet Services","Fuel Site Closures, Upgrades & Replacement","FSD - Fuel Site Closure, Upgrade & Replace - 2025",0,0,220,1972.4,0,0,0,0,0,0,2192.4,"CW","City Wide","State of Good Repair"
"248","Fleet Services","Fuel Site Closures, Upgrades & Replacement","FSD - Fuel Site Closure, Upgrade & Replace - 2026",0,0,0,227,2031.5,0,0,0,0,0,2258.5,"CW","City Wide","State of Good Repair"
"249","Fleet Services","Fuel Site Closures, Upgrades & Replacement","FSD - Fuel Site Closure, Upgrade & Replace - 2027",0,0,0,0,234,2092.5,0,0,0,0,2326.5,"CW","City Wide","State of Good Repair"
"250","Fleet Services","Municipal Licensing & Standards-Fleet Replacement","MLS - Fleet Replacement - 2026",0,0,0,611.1,1425.8,0,0,0,0,0,2036.9,"CW","City Wide","State of Good Repair"
"251","Fleet Services","Municipal Licensing & Standards-Fleet Replacement","MLS - Fleet Replacement - 2027",0,0,0,0,1079.3,2518.3,0,0,0,0,3597.6,"CW","City Wide","State of Good Repair"
"252","Corporate Real Estate Management","Sitework","100 Queen-Rehab Elevated Walkways",0,0,0,0,0,0,1,252,0,0,253,"10","Spadina-Fort York","State of Good Repair"
"253","Corporate Real Estate Management","Renovations","1535 Kingston Road - Various Projects",0,0,3,56,0,0,0,0,0,0,59,"20","Scarborough Southwest","State of Good Repair"
"254","Corporate Real Estate Management","Renovations","9 Clendenan-Renovations",0,0,4,16,0,0,0,0,0,0,20,"4","Parkdale-High Park","State of Good Repair"
"255","Corporate Real Estate Management","Renovations","Various SOGR Work on Interior Systems 2027",0,0,0,0,21,442,0,0,32,580,1075,"CW","City Wide","State of Good Repair"
"256","Corporate Real Estate Management","Renovations","4219 Dundas St-Interior Finishes",0,0,0,0,0,0,0,0,33,2.2,35.2,"3","Etobicoke-Lakeshore","State of Good Repair"
"257","Corporate Real Estate Management","Renovations","Capital Project Validation - Future",0,800,800,800,800,800,800,800,800,800,7200,"CW","City Wide","State of Good Repair"
"258","Corporate Real Estate Management","Renovations","55 John-Renew Finishes 3rd Fl Meeting Room",0,0,0,0,0,0,0,0,219,24,243,"10","Spadina-Fort York","State of Good Repair"
"259","Corporate Real Estate Management","Re-roofing","3325 Warden Ave-Replace Roofing Systems",0,0,0,0,0,0,0,0,137,7.45,144.45,"22","Scarborough-Agincourt","State of Good Repair"
"260","Corporate Real Estate Management","Real Estate Services","SOGR Leased Facilities/Properties-Future",0,1200,1200,700,1700,1200,1200,1200,1200,1200,10800,"CW","City Wide","State of Good Repair"
